stem;count
open;3475
mari;3471
measur;3470
denver;3467
church;3463
star;3461
hand;3457
steve;3454
band;3447
girl;3446
shot;3444
gener;3443
public;3441
phoenix;3437
leader;3436
guard;3431
hotel;3429
choic;3411
dinner;3409
intern;3408
time;3407
illinoi;3405
district;3396
mayor;3394
kansa;3392
live;3387
win;3384
oper;3381
valu;3376
competit;3374
maryland;3371
store;3370
email;3368
messag;3367
sign;3358
candid;3357
war;3356
pressur;3353
everybodi;3343
decad;3340
forc;3339
rep;3334
result;3331
crime;3329
decemb;3317
seat;3314
websit;3304
menu;3303
look;3302
part;3300
hit;3298
qualiti;3283
richard;3277
nba;3269
jan;3267
heat;3267
pass;3260
quarterback;3250
jr;3243
central;3241
impact;3237
bowl;3237
treatment;3230
return;3224
corp;3222
charg;3217
version;3217
concern;3211
big;3209
ford;3208
shoot;3205
commun;3202
item;3189
teacher;3186
invest;3186
access;3183
girl;3179
set;3179
brother;3179
club;3177
peter;3166
releas;3158
pick;3154
term;3152
injuri;3150
second;3143
even;3143
decad;3142
book;3142
chief;3140
health;3134
bank;3114
commun;3104
mind;3102
marriag;3097
championship;3097
consum;3095
red;3086
co;3086
beach;3079
line;3063
lawmak;3054
democrat;3052
word;3052
harri;3044
feb;3042
spokeswoman;3041
boi;3039
sept;3036
ticket;3033
dog;3029
term;3015
hundr;3012
driver;3010
challeng;3010
incid;3006
bill;3005
tournament;3002
place;3000
murder;2999
vice;2998
relationship;2996
univers;2994
citi;2994
on;2993
past;2993
stori;2980
art;2970
blood;2954
bank;2949
engin;2943
union;2942
station;2939
feder;2932
assist;2928
comment;2928
minnesota;2928
view;2927
mexico;2924
piec;2921
tour;2919
option;2915
attack;2915
major;2913
restaur;2909
chicken;2906
stuff;2905
size;2905
gop;2897
ncaa;2896
diego;2893
organ;2875
matt;2867
kevin;2849
drive;2849
ceo;2846
europ;2845
crisi;2841
press;2836
law;2834
august;2826
pai;2822
camp;2817
fee;2815
level;2811
enforc;2811
facil;2808
frank;2808
style;2806
septemb;2803
lee;2794
plant;2791
orang;2784
emerg;2783
step;2769
card;2765
paper;2763
attornei;2760
lawyer;2760
immigr;2757
coach;2755
committe;2751
chairman;2748
cent;2739
expert;2736
date;2735
televis;2733
ic;2730
campu;2730
kitchen;2729
pound;2725
octob;2723
doctor;2723
bob;2713
gener;2711
fight;2710
commiss;2709
brian;2708
santa;2708
juri;2693
document;2693
height;2689
capit;2688
sign;2677
cardin;2671
statu;2662
playoff;2661
differ;2661
beer;2656
surgeri;2653
edward;2652
boi;2650
winner;2650
condit;2650
sacramento;2649
dec;2648
advantag;2647
form;2645
visit;2645
confer;2643
market;2638
approach;2633
drug;2633
agent;2624
debat;2623
audienc;2622
locat;2622
search;2620
playoff;2620
unemploy;2604
lawsuit;2603
philadelphia;2600
regul;2597
suit;2594
god;2591
victim;2590
popul;2589
call;2589
democrat;2587
educ;2572
boston;2571
q;2568
middl;2564
rang;2563
daniel;2561
de;2560
model;2559
judg;2557
charact;2556
ey;2551
young;2549
session;2544
voic;2537
ap;2535
miami;2531
church;2531
stadium;2531
damag;2530
sauc;2528
chees;2525
houston;2524
leadership;2521
appl;2519
street;2518
andrew;2517
countri;2515
focu;2512
million;2512
none;2503
professor;2499
employe;2495
anthoni;2488
comput;2488
tim;2487
show;2482
decis;2481
bu;2476
name;2476
dozen;2475
carolina;2465
offer;2465
rose;2465
screen;2461
jeff;2459
chief;2453
protest;2452
build;2449
winter;2449
box;2447
toni;2443
support;2440
township;2439
nov;2431
vehicl;2431
glass;2424
medic;2418
travel;2414
hospit;2413
piec;2413
contact;2410
lunch;2409
lack;2403
diseas;2402
institut;2402
foot;2401
kelli;2400
side;2400
e;2397
option;2397
garden;2397
weather;2394
reason;2393
degre;2391
network;2389
war;2388
troubl;2388
unit;2387
feel;2387
blazer;2375
pair;2373
demand;2373
oct;2369
group;2369
christma;2365
song;2356
adult;2356
violenc;2350
condit;2349
taylor;2343
babi;2340
activ;2339
drive;2339
rock;2337
estat;2337
lot;2336
rock;2333
type;2329
polit;2326
howard;2323
visitor;2321
activ;2321
loan;2315
coverag;2312
review;2308
blue;2307
partner;2302
sourc;2300
share;2297
zone;2290
pitch;2289
wall;2289
barack;2288
atlanta;2287
graduat;2286
comment;2286
sister;2285
equip;2285
commiss;2281
corner;2278
pain;2275
kid;2274
request;2272
gm;2271
secur;2269
hit;2266
victim;2266
apart;2265
parti;2260
w;2259
radio;2256
pictur;2256
act;2255
schedul;2254
lineup;2254
collect;2253
fan;2250
vote;2248
host;2239
resourc;2237
meet;2233
rebound;2232
internet;2232
parti;2231
analyst;2224
percentag;2223
joseph;2223
transit;2223
movement;2221
london;2220
tree;2219
ticket;2216
super;2216
rick;2216
suprem;2215
speech;2214
ann;2213
concern;2209
labor;2209
christian;2207
recess;2206
island;2198
licens;2197
tiger;2197
contract;2197
aid;2196
confid;2195
sex;2194
thank;2194
seat;2194
transport;2189
plenti;2187
divis;2183
break;2182
class;2182
standard;2181
retir;2181
ey;2180
blue;2180
grand;2177
offici;2177
talk;2175
truck;2174
reform;2174
plate;2172
wood;2171
doctor;2170
bond;2167
justic;2162
field;2158
dan;2157
allen;2156
consum;2156
weight;2153
approv;2153
need;2149
agenc;2148
skill;2148
pool;2146
counti;2145
coast;2138
cup;2136
cultur;2135
battl;2134
realiti;2130
eric;2130
languag;2128
press;2126
tast;2125
