stem;count
respons;2333
sound;2326
anybodi;2322
cream;2322
smile;2319
inform;2319
first;2314
flight;2306
brand;2301
green;2298
law;2297
white;2297
brain;2296
field;2296
lord;2294
pant;2294
floor;2285
version;2284
hate;2280
west;2275
job;2273
mark;2272
web;2271
beach;2267
daughter;2266
brown;2261
yep;2252
club;2236
diego;2229
pleasur;2226
network;2224
board;2223
c;2215
point;2214
tea;2212
am;2210
p;2204
steve;2202
dear;2202
dress;2199
shoot;2194
idk;2183
opportun;2183
ipad;2176
stori;2172
fun;2171
min;2164
denver;2159
sir;2156
live;2151
score;2149
loss;2148
walk;2143
babi;2139
da;2138
graduat;2135
facebook;2135
hi;2131
code;2127
watch;2121
dj;2118
mood;2117
homework;2114
color;2113
troubl;2113
bdai;2107
been;2107
read;2105
com;2102
mother;2100
amaz;2099
crap;2099
m;2096
career;2095
set;2092
sat;2090
nap;2089
church;2087
educ;2082
process;2081
presid;2080
agre;2079
peac;2074
bunch;2073
winner;2069
fall;2067
holi;2063
open;2063
enjoi;2062
content;2061
romnei;2053
bike;2053
member;2051
bag;2050
music;2049
dalla;2047
drink;2043
touch;2038
high;2036
realiti;2032
vacat;2026
sale;2025
south;2021
ugh;2019
social;2013
blast;2012
art;2009
updat;2008
inspir;2006
nd;2003
jazz;1994
william;1986
night;1984
cloth;1980
feet;1979
soul;1977
talent;1977
staff;1971
need;1969
blue;1967
shot;1962
street;1960
sorri;1960
step;1959
n;1956
star;1953
s;1951
dog;1947
tast;1947
place;1944
cant;1941
downtown;1938
cool;1937
past;1935
profil;1934
suggest;1934
qualiti;1933
busi;1932
ryan;1931
open;1930
pleas;1930
final;1924
win;1922
contest;1921
releas;1921
report;1921
shoutout;1920
georg;1913
univers;1912
control;1910
free;1895
famili;1893
playoff;1887
lmao;1884
result;1879
washington;1878
what;1874
manag;1873
appl;1872
fish;1867
job;1861
bill;1858
build;1857
life;1853
north;1852
visit;1851
baltimor;1847
crowd;1844
market;1844
tip;1840
tom;1837
fam;1831
portland;1831
fear;1831
team;1830
marriag;1823
crew;1822
dude;1821
th;1820
grade;1819
blood;1818
star;1811
up;1810
harri;1805
tip;1799
mile;1798
sweet;1796
usa;1795
fridai;1795
get;1792
respect;1788
credit;1786
ladi;1782
suck;1781
internet;1779
middl;1773
draft;1769
dont;1769
valu;1765
hard;1764
out;1762
cup;1759
note;1759
adam;1758
teacher;1756
schedul;1755
g;1750
quot;1746
w;1743
beach;1740
it;1735
scene;1735
matt;1732
atlanta;1731
good;1729
station;1726
yai;1722
yeah;1721
round;1721
pick;1719
product;1718
mom;1717
chat;1711
decis;1709
food;1707
artist;1707
philli;1704
think;1702
thanksgiv;1702
gui;1701
youtub;1700
tip;1699
goal;1695
hall;1694
panel;1690
ga;1689
lead;1687
booth;1686
bowl;1685
cat;1680
ye;1680
campaign;1679
winter;1678
valentin;1676
copi;1673
shower;1671
thought;1667
book;1667
write;1666
onlin;1665
friend;1662
ill;1661
search;1659
beat;1658
titl;1656
man;1655
let;1651
week;1647
media;1644
row;1641
wall;1640
project;1639
tech;1638
charact;1638
pool;1636
ur;1634
thx;1633
model;1633
pass;1632
hotel;1629
win;1628
s;1626
live;1622
window;1621
locat;1617
address;1617
act;1614
access;1612
husband;1611
restaur;1611
member;1610
press;1610
weight;1609
boss;1608
role;1607
none;1605
t;1604
mix;1601
smh;1601
opinion;1601
bout;1599
wisconsin;1598
yr;1595
cc;1593
east;1593
light;1592
bill;1591
old;1588
o;1588
hill;1588
send;1588
custom;1588
am;1586
earth;1586
peep;1583
crazi;1583
ad;1578
period;1578
school;1576
star;1576
j;1575
shit;1575
o;1574
glass;1571
hahaha;1571
center;1570
faith;1570
chang;1567
airport;1567
comment;1564
merri;1564
client;1563
industri;1561
happi;1560
scott;1557
posit;1557
robert;1552
discuss;1552
dick;1547
yup;1545
tim;1543
size;1543
let;1541
client;1540
k;1539
colleg;1538
fav;1537
beauti;1537
butt;1537
bottl;1536
knowledg;1534
name;1531
madison;1531
sun;1529
doubt;1529
smith;1527
direct;1522
tax;1522
counti;1522
bowl;1522
work;1520
math;1517
jim;1516
jack;1511
degre;1511
littl;1511
cooki;1511
statu;1509
view;1508
mail;1507
servic;1507
girlfriend;1507
card;1506
guest;1505
kobe;1504
noon;1502
review;1502
studi;1500
mean;1498
e;1497
that;1497
fashion;1496
seat;1494
skill;1494
